tau (s) - HBT Measurement	g^(2)(tau) - HBT Measurement	tau (s) - none Fit	g^(2)(tau) - none Fit	
2,75248n	1,31354	2,75248n	1	
2,91439n	1,44826	2,91439n	1	
3,0763n	1,68402	3,0763n	1	
3,23821n	1,88611	3,23821n	1	
3,40012n	1,34722	3,40012n	1	
3,56203n	1,58298	3,56203n	1	
3,72394n	1,98715	3,72394n	1	
3,88585n	2,18923	3,88585n	1	
4,04776n	2,08819	4,04776n	1	
4,20967n	2,425	4,20967n	1	
4,37158n	2,49236	4,37158n	1	
4,5335n	1,95347	4,5335n	1	
4,69541n	1,98715	4,69541n	1	
4,85732n	1,78507	4,85732n	1	
5,01923n	1,88611	5,01923n	1	
5,18114n	1,65034	5,18114n	1	
5,34305n	1,85243	5,34305n	1	
5,50496n	1,61666	5,50496n	1	
5,66687n	2,05451	5,66687n	1	
5,82878n	2,12187	5,82878n	1	
5,99069n	1,85243	5,99069n	1	
6,1526n	2,62708	6,1526n	1	
6,31451n	2,49236	6,31451n	1	
6,47642n	4,04166	6,47642n	1	
6,63833n	3,67117	6,63833n	1	
6,80024n	4,21006	6,80024n	1	
6,96215n	3,57013	6,96215n	1	
7,12406n	2,55972	7,12406n	1	
7,28597n	2,5934	7,28597n	1	
7,44789n	2,15555	7,44789n	1	
7,6098n	1,88611	7,6098n	1	
7,77171n	1,58298	7,77171n	1	
7,93362n	1,85243	7,93362n	1	
8,09553n	1,88611	8,09553n	1	
8,25744n	1,81875	8,25744n	1	
8,41935n	1,48194	8,41935n	1	
8,58126n	1,65034	8,58126n	1	
8,74317n	2,02083	8,74317n	1	
8,90508n	2,66076	8,90508n	1	
9,06699n	1,98715	9,06699n	1	
9,2289n	2,29027	9,2289n	1	
9,39081n	2,02083	9,39081n	1	
9,55272n	1,3809	9,55272n	1	
9,71463n	1,31354	9,71463n	1	
9,87654n	1,24618	9,87654n	1	
10,0385n	1,61666	10,0385n	1	
10,2004n	1,14514	10,2004n	1	
10,3623n	1,41458	10,3623n	1	
10,5242n	1,65034	10,5242n	1	
10,6861n	1,14514	10,6861n	1	
10,848n	1,07778	10,848n	1	
11,0099n	1,31354	11,0099n	1	
11,1718n	976,734m	11,1718n	1	
11,3337n	707,29m	11,3337n	1	
11,4956n	1,01041	11,4956n	1	
11,6576n	1,14514	11,6576n	1	
11,8195n	1,11146	11,8195n	1	
11,9814n	1,34722	11,9814n	1	
12,1433n	875,693m	12,1433n	1	
12,3052n	1,41458	12,3052n	1	
12,4671n	976,734m	12,4671n	1	
12,629n	1,48194	12,629n	1	
12,7909n	1,17882	12,7909n	1	
12,9528n	1,2125	12,9528n	1	
13,1148n	1,27986	13,1148n	1	
13,2767n	943,054m	13,2767n	1	
13,4386n	943,054m	13,4386n	1	
13,6005n	808,332m	13,6005n	1	
13,7624n	1,11146	13,7624n	1	
13,9243n	1,3809	13,9243n	1	
14,0862n	808,332m	14,0862n	1	
14,2481n	1,17882	14,2481n	1	
14,41n	909,373m	14,41n	1	
14,5719n	943,054m	14,5719n	1	
14,7339n	1,14514	14,7339n	1	
14,8958n	1,11146	14,8958n	1	
15,0577n	1,2125	15,0577n	1	
15,2196n	774,651m	15,2196n	1	
15,3815n	673,61m	15,3815n	1	
15,5434n	1,14514	15,5434n	1	
15,7053n	1,14514	15,7053n	1	
15,8672n	740,971m	15,8672n	1	
